"Keyword","Intent","Position","SF","Traffic","Traffic %","Volume","KD %","URL","Updated"
"","www.daraz.com pakistan","N","1","3","576","< 0.01","720","49","www.daraz.pk/","Aug 12"
"","daraz seller helpline number","N T","1","2","576","< 0.01","720","37","www.daraz.pk/daraz-support-center/","Jul 25"
"","www daraz com pakistan","N T","1","3","576","< 0.01","720","48","www.daraz.pk/","Jul 25"
"","sellercentral daraz","N","1","4","472","< 0.01","590","34","www.daraz.pk/sell-on-daraz/","Jun 27"
"","www daraz pk","N","1","4","472","< 0.01","590","46","www.daraz.pk/","Jul 21"
"","www daraz com online shopping","N","1","5","472","< 0.01","590","43","www.daraz.pk/","Jul 28"
"","دراز","N","1","6","472","< 0.01","590","40","www.daraz.pk/","Jul 19"
"","daraz pk login","N T","1","5","472","< 0.01","590","44","www.daraz.pk/login/","Jul 21"
"","daraz seller sign in","N T","1","6","472","< 0.01","590","33","www.daraz.pk/sell-on-daraz/","Jul 16"
"","11 11 sale daraz","N T","1","5","472","< 0.01","590","33","www.daraz.pk/","Jul 14"
"","churiya","I","1","7","472","< 0.01","590","35","www.daraz.pk/tag/churiya/","Aug 13"
"","darwaza pk","N","1","5","472","< 0.01","590","47","www.daraz.pk/","Aug 01"
"","watering can","I","1","5","470","< 0.01","1K","33","www.daraz.pk/tag/watering-can-for-plants/","Jul 29"
"","ghazali home store","I T","1","6","470","< 0.01","1K","30","www.daraz.pk/tag/ghazali-home-store/","Aug 10"
"","kainchi","I","1","6","470","< 0.01","1K","32","www.daraz.pk/tag/kainchi/","Jul 19"
"","seller center login","N T","1","2","470","< 0.01","1K","33","www.daraz.pk/sell-on-daraz/","Jul 19"
"","blindfold","I T","1","7","470","< 0.01","1K","40","www.daraz.pk/tag/blind-folds/","Jul 10"
"","mouse trap","I","1","9","470","< 0.01","1K","40","www.daraz.pk/tag/mouse-traps/","Jul 11"
"","wine glasses","C","1","8","470","< 0.01","1K","41","www.daraz.pk/tag/wine-glasses/","Jul 24"
"","clothes hanger","I","1","6","470","< 0.01","1K","30","www.daraz.pk/hangers/","Jul 28"
"","double bed mattress price in pakistan","C","1","5","470","< 0.01","1K","37","www.daraz.pk/tag/mattress-for-double-bed/","Aug 05"
"","cowboy hat","C","1","5","470","< 0.01","1K","40","www.daraz.pk/tag/cowboy-hat-price/","Aug 02"
"","appo","N T","1","5","470","< 0.01","1K","34","www.daraz.pk/tag/appo/","Jul 29"
"","burner","I T","1","7","470","< 0.01","1K","42","www.daraz.pk/tag/burners-for-stove/","Aug 01"
"","cup of tea","I T","1","7","470","< 0.01","1K","43","www.daraz.pk/tag/cups-sets-for-tea/","Jul 02"
"","bueno","I","","7","470","< 0.01","1K","30","www.daraz.pk/tag/kinder-bueno-chocolate/","Jul 27"
"","rotimatic","I T","1","6","413","< 0.01","880","37","www.daraz.pk/tag/rotimatic-price/","Jul 26"
"","ps1","I T","1","7","413","< 0.01","880","45","www.daraz.pk/tag/playstation-1-console/","Jul 27"
"","chinese noodles","I","1","8","413","< 0.01","880","45","www.daraz.pk/tag/chinese-noodle/","Jul 28"
"","chanay","I","1","8","413","< 0.01","880","36","www.daraz.pk/tag/mota-chanay-wala-price/","Jul 16"
"","android watch","I","1","5","413","< 0.01","880","32","www.daraz.pk/tag/android-smart-watches-5g/","Jul 09"
"","shin ramen","I","1","6","413","< 0.01","880","37","www.daraz.pk/tag/shin-ramen-noodles/","Jul 28"
"","nokia 1200","I T","1","7","413","< 0.01","880","30","www.daraz.pk/tag/nokia-phone-1200/","Jul 25"
"","x way shoes","I","1","6","413","< 0.01","880","32","www.daraz.pk/tag/x-way-shoes-price/","Aug 12"
"","kanda","I T","1","5","413","< 0.01","880","30","www.daraz.pk/tag/kanda-digital/","Aug 01"
"","daraz pk seller","N","1","6","384","< 0.01","480","37","www.daraz.pk/sell-on-daraz/","Jul 23"
"","draz seller account","N","1","5","384","< 0.01","480","34","www.daraz.pk/sell-on-daraz/","Jun 24"
"","daraz number","N","","6","384","< 0.01","480","38","daraz.pk/","Jul 22"
"","draz seller","N T","1","3","384","< 0.01","480","40","www.daraz.pk/sell-on-daraz/","Jul 25"
"","daraz seller central","N T","1","6","384","< 0.01","480","31","www.daraz.pk/sell-on-daraz/","Jul 10"
"","daraz 11.11 sale 2024","N T","1","5","384","< 0.01","480","33","www.daraz.pk/tag/11-11-sale/","Jul 26"
"","daaz","N","1","5","384","< 0.01","480","47","www.daraz.pk/","Aug 02"
"","daraz live psl match","N T","1","4","384","< 0.01","480","31","www.daraz.pk/tag/live-psl-match-today/","Jun 27"
"","daraz account","N T","1","6","384","< 0.01","480","41","www.daraz.pk/","Jul 31"
"","seller centre daraz","N T","1","4","384","< 0.01","480","32","www.daraz.pk/sell-on-daraz/","Jul 24"
"","daraz sale today 2024","N T","1","5","384","< 0.01","480","33","www.daraz.pk/","Jul 26"
"","seller center daraz login","N T","1","5","384","< 0.01","480","37","www.daraz.pk/sell-on-daraz/","Aug 01"
"","carry bag","C","1","7","338","< 0.01","720","30","www.daraz.pk/tag/bag-hand-carry-bag-luggage/","Aug 04"
"","dash cam","C","1","6","338","< 0.01","720","39","www.daraz.pk/tag/dash-cam-price/","Aug 01"
"","spicy noodles","I T","1","9","338","< 0.01","720","33","www.daraz.pk/tag/noodles-spicy/","Jul 25"
"","cat nail clippers","I","1","5","338","< 0.01","720","33","www.daraz.pk/cat-claw-care/","Jun 27"
"","ear plugs","I T","1","5","338","< 0.01","720","40","www.daraz.pk/travel-ear-plugs/","Jul 10"
"","i5 4th generation","C I","1","4","338","< 0.01","720","30","www.daraz.pk/tag/core-i5-4th-generation-pc-price/","Jul 24"
"","suitcase bag","C","1","5","338","< 0.01","720","35","www.daraz.pk/tag/suitcase-bag/","Jun 21"
"","bage","I","1","6","338","< 0.01","720","30","www.daraz.pk/tag/bagee-bags/","Jul 29"
"","fish net","I","1","6","338","< 0.01","720","31","www.daraz.pk/tag/fish-nets/","Aug 12"
"","bentonite clay","I","1","6","338","< 0.01","720","37","www.daraz.pk/tag/bentonite-clay-pack/","Jul 24"
"","milk frother","C I","1","7","338","< 0.01","720","34","www.daraz.pk/tag/milk-frothers/","Aug 02"
"","peeler","I","1","7","338","< 0.01","720","30","www.daraz.pk/tag/peeler/","Jul 30"
"","stri","C","1","5","338","< 0.01","720","48","www.daraz.pk/tag/stri-iron/","Jul 26"
"","corner shelf","I","1","5","338","< 0.01","720","33","www.daraz.pk/tag/furniture-corner-shelf/","Jul 26"
"","bear drink","I","1","5","338","< 0.01","720","30","www.daraz.pk/tag/drink-beer/","Jul 29"
"","candle light","I T","1","6","338","< 0.01","720","32","www.daraz.pk/tag/candle-lights/","Jul 31"
"","rs5","I T","1","7","338","< 0.01","720","40","www.daraz.pk/tag/game-rs5/","3 days"
"","chane","I","1","6","338","< 0.01","720","30","www.daraz.pk/tag/bhune-chane/","Aug 02"
"","drz","N","1","6","312","< 0.01","390","48","www.daraz.pk/","Jun 22"
"","daraz products","N T","1","5","312","< 0.01","390","37","www.daraz.pk/all-products/","Aug 04"
"","daraz 11","N","1","3","312","< 0.01","390","32","www.daraz.pk/","Aug 05"
"","3d glasses","I","1","7","312","< 0.01","390","37","www.daraz.pk/3d-glasses/","Jul 29"
"","seller daraz","N","1","5","312","< 0.01","390","33","www.daraz.pk/sell-on-daraz/","Jun 28"
"","deraz","N T","1","4","312","< 0.01","390","48","www.daraz.pk/","Aug 12"
"","pubic hair trimmer","C","1","7","277","< 0.01","590","35","www.daraz.pk/tag/trimmer-private-hair/","Jul 10"
"","doorbeen","I T","1","5","277","< 0.01","590","33","www.daraz.pk/tag/doorbeen-price/","Jul 21"
"","power station","C","1","5","277","< 0.01","590","42","www.daraz.pk/tag/portable-power-station-home/","Jul 17"
"","crochet cardigan","I T","1","7","277","< 0.01","590","31","www.daraz.pk/tag/crochet-sweaters-cardigan/","4 days"
"","pegboard","I","1","6","277","< 0.01","590","36","www.daraz.pk/tag/pegboards-wall/","Aug 04"
"","resistance bands","C","1","6","277","< 0.01","590","45","www.daraz.pk/tag/resistance-bands/","Jun 30"
"","daraz helpline phone number","N T","1","3","277","< 0.01","590","33","www.daraz.pk/daraz-support-center/","Jun 29"
"","smoker","C I","1","6","277","< 0.01","590","33","www.daraz.pk/tag/bbq-smoker/","Jul 28"
"","dragon condom","I T","1","6","277","< 0.01","590","30","www.daraz.pk/tag/dragon-condom-silicon/","Aug 12"
"","electrolytes powder","C","1","6","277","< 0.01","590","43","www.daraz.pk/tag/electrolytes-powder/","Jul 30"
"","laptop power bank","C","1","5","277","< 0.01","590","34","www.daraz.pk/tag/laptop-power-banks/","Jul 26"
"","heat press machine","I","1","8","277","< 0.01","590","31","www.daraz.pk/tag/printing-heat-press-machine/","Aug 13"
"","wedding gifts","C","1","6","277","< 0.01","590","37","www.daraz.pk/tag/for-wedding-gifts/","Jul 22"
"","pottery wheel","C I","1","6","277","< 0.01","590","39","www.daraz.pk/tag/pottery-wheel-price/","Aug 02"
"","crochet bags","I T","1","6","277","< 0.01","590","33","www.daraz.pk/tag/crocheting-bags/","Jul 23"
"","chula","I","1","8","277","< 0.01","590","32","www.daraz.pk/tag/chule-chula/","Aug 02"
"","ankle support","I","1","5","277","< 0.01","590","30","www.daraz.pk/tag/ankle-strap-brace/","Aug 12"
"","brass knuckles","I","1","4","277","< 0.01","590","37","www.daraz.pk/tag/self-defence-brass-knuckle/","Jul 31"
"","sexy bikini","I","1","4","277","< 0.01","590","32","www.daraz.pk/womens-bikinis/","Jul 25"
"","ben 10 watch","I T","1","8","277","< 0.01","590","33","www.daraz.pk/tag/ben-10-watches/","Jul 24"
"","bathrobes for women","C","1","5","277","< 0.01","590","31","www.daraz.pk/bathrobes/","Aug 10"
"","gyser","I","1","4","277","< 0.01","590","30","www.daraz.pk/tag/gysers-electric-gyser/","Jul 22"
"","mens overcoat","I","1","6","277","< 0.01","590","30","www.daraz.pk/tag/overcoat-for-men/","Jul 28"
"","vcr player","I","1","6","277","< 0.01","590","33","www.daraz.pk/tag/vcr-audio-video-player/","Aug 01"
"","sex chair","C","1","3","277","< 0.01","590","47","www.daraz.pk/tag/sex-sofa-chair/","Aug 03"
"","christmas decorations","I","1","6","277","< 0.01","590","37","www.daraz.pk/tag/christmas-decorations-things/","Jul 27"
"","phone charms","I","1","5","277","< 0.01","590","31","www.daraz.pk/tag/charms-mobile/","Jul 03"
"","daraz seller centre login","N T","1","4","256","< 0.01","320","34","www.daraz.pk/sell-on-daraz/","Jun 28"
"","daraz pk online shopping mobile","N T","1","3","256","< 0.01","320","30","www.daraz.pk/smartphones/","Jul 15"
"","daraz help line","I N","1","5","256","< 0.01","320","31","helpcenter.daraz.pk/page/knowledge?pageId=12&category=1000001093&knowledge=1000034579&language=en","Jul 25"
"","daraz seller account create","N","1","5","256","< 0.01","320","32","www.daraz.pk/sell-on-daraz/","Jul 20"
"","daraz official website","N","1","5","256","< 0.01","320","49","www.daraz.pk/","Aug 12"
"","daraz shoping","N","1","6","256","< 0.01","320","49","www.daraz.pk/","Aug 02"
"","blue light blocking glasses","C I","1","7","225","< 0.01","480","33","www.daraz.pk/tag/uv-and-blue-light-glasses/","Jun 21"
"","online sale in pakistan","T","1","4","225","< 0.01","480","31","www.daraz.pk/","Jul 24"
"","magic ball","I T","1","6","225","< 0.01","480","42","www.daraz.pk/tag/magic-ball-magic-ball/","Aug 07"
"","taba","I","1","7","225","< 0.01","480","41","www.daraz.pk/tag/taba-squishy/","3 days"
"","shin guards","C I","1","8","225","< 0.01","480","31","www.daraz.pk/football-shin-pads/","Aug 11"
"","korean ramen","C","1","6","225","< 0.01","480","30","www.daraz.pk/tag/korean-ramen/","Jul 09"
"","posca markers","C","1","7","225","< 0.01","480","33","www.daraz.pk/tag/posca-markers-price/","Jul 18"
"","cami top","C","1","6","225","< 0.01","480","30","www.daraz.pk/tag/cami-tops/","Jul 26"
"","lalten","I","1","6","225","< 0.01","480","30","www.daraz.pk/tag/lalten-lamp-for-decoration/","Aug 07"
"","35mm film","I","1","6","225","< 0.01","480","40","www.daraz.pk/tag/film-35mm/","Aug 11"
"","cardigan sweater","C I","1","6","225","< 0.01","480","30","www.daraz.pk/tag/sweaters-and-cardigan/","Jul 28"
"","mens thongs","C","1","4","225","< 0.01","480","30","www.daraz.pk/men-underwear-thongs-others/","Aug 12"
"","white noise machine","C I","1","7","225","< 0.01","480","49","www.daraz.pk/tag/white-noise-machine-price/","Jun 21"
"","hover board","C I","1","5","225","< 0.01","480","35","www.daraz.pk/tag/hoverdboard/","Jul 28"
"","vibration plate","I","1","8","225","< 0.01","480","44","www.daraz.pk/tag/vibration-plates/","Jul 31"
"","palestinian keffiyeh","I","1","7","225","< 0.01","480","30","www.daraz.pk/tag/palestinian-keffiyeh/","Aug 01"
"","kindle ebook reader","C","1","5","225","< 0.01","480","37","www.daraz.pk/tag/kindle-price/","Aug 10"
"","kindle e reader","C","1","7","225","< 0.01","480","33","www.daraz.pk/tag/kindle-price/","Aug 07"
"","chest binder","I","1","6","225","< 0.01","480","30","www.daraz.pk/tag/chest-binder-price/","Jun 24"
"","zong packages monthly call","I T","1","4","225","< 0.01","480","34","www.daraz.pk/zong-call-packages-offers/","Jul 05"
"","howerboad","C","1","5","225","< 0.01","480","31","www.daraz.pk/tag/hoverdboard/","Jul 30"
"","flush mount ceiling light","I","1","4","225","< 0.01","480","37","www.daraz.pk/tag/flush-mount-light/","Aug 03"
"","friendship bracelets","I","1","6","225","< 0.01","480","42","www.daraz.pk/tag/friendship-bracelet/","Aug 12"
"","pocha","I","1","6","225","< 0.01","480","33","www.daraz.pk/tag/pocha-for-floor-mop/","Aug 11"
"","theraband","I N","1","7","225","< 0.01","480","31","www.daraz.pk/tag/thera-band/","Aug 02"
"","pilo","I","1","6","225","< 0.01","480","38","www.daraz.pk/tag/pilo/","Aug 11"
"","porcelain dolls","I","1","8","225","< 0.01","480","33","www.daraz.pk/tag/porcelain-dolls/","3 days"
"","daraz pk karachi","N","1","5","208","< 0.01","260","44","www.daraz.pk/","Aug 02"
"","daraz 11.11","N T","1","4","208","< 0.01","260","33","www.daraz.pk/","Aug 10"
"","daraz co","N T","1","6","208","< 0.01","260","48","www.daraz.pk/","Aug 06"
"","daraz seller center helpline number","N T","1","4","208","< 0.01","260","33","www.daraz.pk/daraz-support-center/","Jul 31"
"","daraz help center","N T","1","5","208","< 0.01","260","30","www.daraz.pk/daraz-support-center/","Jul 25"
"","daraz affiliate program login","N T","1","3","208","< 0.01","260","36","www.daraz.pk/tag/daraz-affiliate-program-login/","Aug 11"
"","daraz office lahore","I","","5","196","< 0.01","1K","32","www.daraz.pk/daraz-support-center/","Jul 15"
"","linglong tyres","N","","7","196","< 0.01","1K","34","www.daraz.pk/tag/linglong-tyres/","Aug 12"
"","nutrafol shampoo","I","","7","191","< 0.01","720","33","www.daraz.pk/products/nutrifol-hair-nutrifying-shampoo-deeply-cleanses-and-nourishes-hair-for-strength-and-health-200ml-i434302700.html","Aug 10"
"","psp go","C","1","7","183","< 0.01","390","31","www.daraz.pk/tag/psp-go-in/","3 days"
"","sheet vinyl flooring","C I","1","7","183","< 0.01","390","49","www.daraz.pk/tag/pvc-vinyle-sheet-for-floor/","Aug 02"
"","aesthetic room decor","I T","1","7","183","< 0.01","390","32","www.daraz.pk/tag/aesthetic-room-decor-items/","Jun 24"
"","soccer jerseys","C","1","4","183","< 0.01","390","33","www.daraz.pk/tag/soccer-jerseys/","Aug 10"
"","gobar","I T","1","8","183","< 0.01","390","31","www.daraz.pk/tag/gobar/","Aug 01"
"","cash machine","C","1","5","183","< 0.01","390","34","www.daraz.pk/tag/cash-machine-cash-machine/","Jun 27"
"","mens flip flops","C","1","4","183","< 0.01","390","36","www.daraz.pk/mens-flip-flops/","Aug 10"
"","earplugs for sleeping","I","1","6","183","< 0.01","390","37","www.daraz.pk/travel-ear-plugs/","Aug 10"
"","face roller","I","1","7","183","< 0.01","390","32","www.daraz.pk/tag/jade-roller-price/","Jul 29"
"","key lock","C","1","8","183","< 0.01","390","30","www.daraz.pk/tag/key-locks/","Jun 20"
"","football boots","C","1","4","183","< 0.01","390","33","www.daraz.pk/tag/football-boots/","Jun 21"
"","basketball hoop","I","1","5","183","< 0.01","390","30","www.daraz.pk/basketball-hoops/","Aug 05"
"","huawei modem","C I","1","3","183","< 0.01","390","36","www.daraz.pk/tag/huawei-wifi-extender-price/","Jun 21"
"","online shopping sites in pakistan","C I","1","5","183","< 0.01","390","44","www.daraz.pk/","Jul 21"
"","playstation 2 games","C","1","4","183","< 0.01","390","36","www.daraz.pk/tag/ps2-games/","Aug 08"
"","pogo stick","I T","1","7","183","< 0.01","390","33","www.daraz.pk/tag/pogo-sticks/","Jul 28"
"","crest whitening strips","I","1","7","183","< 0.01","390","38","www.daraz.pk/crest/","Jun 24"
"","parallettes","C","1","5","183","< 0.01","390","36","www.daraz.pk/tag/parallettes-price/","Jul 06"
"","sweet paprika powder","I","1","6","183","< 0.01","390","33","www.daraz.pk/products/hungarian-style-sweet-paprika-powder-100gm-i594651038.html","Jul 21"
"","rassi","I T","1","6","183","< 0.01","390","31","www.daraz.pk/tag/hanging-rassi/","Jun 23"
"","crystal ball","I","1","9","183","< 0.01","390","37","www.daraz.pk/tag/crystal-balls-with/","Aug 07"
"","can opener","I","1","6","183","< 0.01","390","44","www.daraz.pk/can-bottle-openers/","Aug 05"
"","hiking stick","C","1","7","183","< 0.01","390","38","www.daraz.pk/hiking/","Aug 10"
"","online sales","I T","1","6","183","< 0.01","390","31","www.daraz.pk/","Jul 25"
"","hand wraps","I","1","8","183","< 0.01","390","36","www.daraz.pk/hand-wraps/","Aug 05"
"","bedframes","C","1","4","183","< 0.01","390","44","www.daraz.pk/tag/bed-frames/","Jun 25"
"","trolley bag price in pakistan","C","1","6","183","< 0.01","390","34","www.daraz.pk/luggage/","Jun 24"
"","zohaib machines","I T","1","7","183","< 0.01","390","30","www.daraz.pk/tag/zohaib-machines-flagship-store/","Jul 09"
"","door latch","I","1","7","183","< 0.01","390","33","www.daraz.pk/tag/door-latches/","Jun 22"
"","draz code","T","","7","172","< 0.01","880","30","www.daraz.pk/wow/i/pk/vouchers/index","Jun 21"
"","www daraz","N","1","5","168","< 0.01","210","41","www.daraz.pk/","Jul 22"
"","crorepati game","I T","1","6","168","< 0.01","210","31","www.daraz.pk/tag/crorepati/","3 days"
"","create daraz seller account","N","1","6","168","< 0.01","210","34","www.daraz.pk/sell-on-daraz/","Aug 12"
"","daraz online shopping karachi","N","1","5","168","< 0.01","210","40","www.daraz.pk/","Jul 26"
"","daraz email address","I N","1","4","168","< 0.01","210","30","www.daraz.pk/privacy-agreement/","Aug 12"
"","daraz lahore","N","1","6","168","< 0.01","210","48","www.daraz.pk/","Jul 23"
"","seller account daraz","N T","1","6","168","< 0.01","210","38","www.daraz.pk/sell-on-daraz/","Aug 05"
"","daraz shops","N","1","5","168","< 0.01","210","40","www.daraz.pk/daraz-shop/?scm=1003.4.icms-zebra-5029545-6851844.OTHER_6502335288_7708089","Aug 10"
"","11.11 sale daraz","N T","1","5","168","< 0.01","210","33","www.daraz.pk/","Jul 15"
"","daraz selling account","N","1","6","168","< 0.01","210","32","www.daraz.pk/sell-on-daraz/","Jul 30"
"","led samsung remote","I","","5","157","< 0.01","590","33","www.daraz.pk/products/1088-original-samsung-lcd-led-tv-remote-control-rm-1088-i218227875.html","3 days"
"","led samsung remote","I","","5","157","< 0.01","590","33","www.daraz.pk/products/universal-remote-for-all-samsung-lcdled-and-use-for-china-samsungfree-cell-i132218324.html","3 days"
"","samsung led tv remote","I T","","4","157","< 0.01","590","35","www.daraz.pk/products/1088-original-samsung-lcd-led-tv-remote-control-rm-1088-i218227875.html","3 days"
"","folding mobile","I","","6","156","< 0.01","1K","34","www.daraz.pk/products/samsung-galaxy-z-fold-3-12gb-ram-256-gb-rom-foldable-mobile-phone-one-year-brand-warranty-i358494895.html","Jul 25"
"","ding dong bubble","I T","","5","156","< 0.01","1K","30","www.daraz.pk/products/ding-dong-big-bubble-50-piece-i332518615.html","Jul 22"
"","tak tak game","I T","","8","156","< 0.01","1K","39","www.daraz.pk/products/tak-tak-game-child-playing-fun-enjoying-game-claker-game-ball-i535464582.html","Jul 06"
"","elastic bandage","I","1","6","150","< 0.01","320","34","www.daraz.pk/tag/elastic-bandages/","Jul 10"
"","angel wings","I","1","8","150","< 0.01","320","31","www.daraz.pk/tag/angels-wings/","Jul 31"
"","electric razor","C","1","6","150","< 0.01","320","48","www.daraz.pk/tag/electric-shavers/","Aug 13"
"","cold pressed juice machine","C I","1","8","150","< 0.01","320","33","www.daraz.pk/tag/cold-press-juicer-price/","Jul 03"
"","exercise ball","I","1","6","150","< 0.01","320","37","www.daraz.pk/exercise-balls/","Aug 06"
"","essential oil diffuser","C","1","6","150","< 0.01","320","48","www.daraz.pk/tag/aromatherapy-diffusers/","Aug 13"
"","jola","C","1","7","150","< 0.01","320","33","www.daraz.pk/tag/swing-chair-jola/","4 days"
"","handphone","I T","1","6","150","< 0.01","320","31","www.daraz.pk/tag/handphones-mobile/","Jul 31"
"","knee support brace","I","1","6","150","< 0.01","320","32","www.daraz.pk/tag/knee-support-full/","Jun 24"
"","mouth tape","I","1","6","150","< 0.01","320","33","www.daraz.pk/tag/mouth-tape-strips/","Aug 09"
"","pelling","I T","1","7","150","< 0.01","320","34","www.daraz.pk/tag/wall-pelling-panel/","Aug 09"
"","cat tree","I","1","5","150","< 0.01","320","41","www.daraz.pk/tag/cat-trees/","Jun 24"
"","black noodles","I T","1","7","150","< 0.01","320","30","www.daraz.pk/tag/black-nodeels/","Jul 10"
"","bread box","C","1","8","150","< 0.01","320","31","www.daraz.pk/tag/bread-box-for-kitchen/","Jun 24"
"","polybag","I","1","6","150","< 0.01","320","35","www.daraz.pk/tag/polybag/","Jul 30"
"","nonstick pans","C","1","7","150","< 0.01","320","34","www.daraz.pk/tag/non-stick-pans/","Jul 05"
"","gas mask","I","1","6","150","< 0.01","320","32","www.daraz.pk/tag/gas-mask-price/","Aug 10"
"","drawn camera","I","1","7","150","< 0.01","320","31","www.daraz.pk/drones/","Aug 12"
"","bunyan","I T","1","6","150","< 0.01","320","34","www.daraz.pk/tag/bunyan-for-men/","Jun 21"
"","gaming cpu","C I","1","7","150","< 0.01","320","49","www.daraz.pk/tag/computer-gaming-cpu/","Aug 02"
"","rotimatic machine","N T","1","6","150","< 0.01","320","34","www.daraz.pk/tag/rotimatic-price/","Jul 13"
"","luggage tags","C","1","8","150","< 0.01","320","34","www.daraz.pk/identity-tags/","Aug 11"
"","hotwheels cars","I T","1","5","150","< 0.01","320","33","www.daraz.pk/tag/hot-wheels-cars-toys/","Aug 12"
"","air conditioner filters","I","1","6","150","< 0.01","320","44","www.daraz.pk/tag/air-conditioner-filters/","Jul 24"
"","steel plate","I","1","5","150","< 0.01","320","30","www.daraz.pk/tag/steel-plates-price/","Jun 20"
"","anti snoring device","C","1","7","150","< 0.01","320","35","www.daraz.pk/tag/anti-snoring-device-price/","Aug 10"
"","cd stand","I T","1","6","150","< 0.01","320","31","www.daraz.pk/tag/cd-racks/","Aug 06"
"","gaming computer price in pakistan","C","1","5","150","< 0.01","320","31","www.daraz.pk/tag/gaming-setup-pc-price/","Jul 31"
"","electric skateboard","I","1","6","150","< 0.01","320","37","www.daraz.pk/tag/skateboard-electric-skateboard/","Jul 31"
"","video camera","C I","1","6","150","< 0.01","320","30","www.daraz.pk/video-camera/","Jul 07"
"","ebike conversion kit","C","1","3","150","< 0.01","320","32","www.daraz.pk/tag/electric-bike-conversion-kit/","Jul 21"
"","sparklers","I","1","7","150","< 0.01","320","40","www.daraz.pk/tag/fireworks-fireworks-sparkler/","Aug 11"
"","beautiful watches for men","I","1","6","150","< 0.01","320","35","www.daraz.pk/tag/men-beautiful-watch/","Aug 12"
"","mini drone","I","1","5","150","< 0.01","320","32","www.daraz.pk/drones-accessories/","Aug 06"
"","baseball gloves","I","1","5","150","< 0.01","320","47","www.daraz.pk/baseball-gloves-mitts/","Jun 21"
"","hand carry luggage","C","1","5","150","< 0.01","320","33","www.daraz.pk/tag/hand-carry-luggage/","Jul 22"
"","egpu","I","1","5","150","< 0.01","320","46","www.daraz.pk/tag/egpu-for/","Jul 21"
"","blackhead nose strips","I T","1","6","150","< 0.01","320","33","www.daraz.pk/tag/blackheads-removing-strips/","Aug 10"
"","blackhead strips","C I","1","5","150","< 0.01","320","36","www.daraz.pk/tag/nose-strip-for-blackheads/","Jun 22"
"","bond paper","I","1","6","150","< 0.01","320","34","www.daraz.pk/tag/bond-paper/","Jul 29"
"","electrical tester","I","1","9","150","< 0.01","320","35","www.daraz.pk/automotive-electrical-testers-test-leads/","Jun 24"
"","my little pony toys","I","1","6","150","< 0.01","320","33","www.daraz.pk/tag/my-little-pony-all-toys/","Aug 06"
"","pink keyboard","I","1","7","150","< 0.01","320","32","www.daraz.pk/tag/pink-keyboards/","Jun 30"
"","transparent bikini","C","1","3","150","< 0.01","320","31","www.daraz.pk/tag/clear-bikini/","Aug 11"
"","gta 4 ps4","I","1","9","150","< 0.01","320","34","www.daraz.pk/tag/gta-4-for-ps4/","Jun 23"
"","boob tape","C","1","4","150","< 0.01","320","42","www.daraz.pk/tag/breast-tape/","Jun 28"
"","queen size bed frame","C","1","7","150","< 0.01","320","32","www.daraz.pk/tag/queen-size-bed-frame/","Jul 13"
"","kundi","I","","8","137","< 0.01","880","32","www.daraz.pk/products/stainless-steel-button-tower-bolt-kundi-with-screws-for-all-type-of-doors-i489517452.html","Aug 01"
"","daraz app 11 11","N T","1","5","136","< 0.01","170","38","www.daraz.pk/","Aug 13"
"","daraz mall online shopping","N T","1","5","136","< 0.01","170","37","www.daraz.pk/daraz-mall/","Jul 23"
