"Keyword","Intent","Position","SF","Traffic","Traffic %","Volume","KD %","URL","Updated"
"","daraz online shopping in pakistan","N","1","5","1.9K","0.02","2.4K","48","www.daraz.pk/","Jun 28"
"","jenga game","I","1","7","1.7K","0.01","3.6K","35","www.daraz.pk/tag/jenga-game-price/","Jul 09"
"","pokemon cards","I T","1","9","1.7K","0.01","3.6K","42","www.daraz.pk/tag/pokemon-cards-pokemon/","Jul 10"
"","game boy","I","1","7","1.7K","0.01","3.6K","48","www.daraz.pk/tag/nintendo-game-boy-advanced/","Jun 28"
"","ors","I","","9","1.6K","0.01","9.9K","30","www.daraz.pk/products/shmzs-ors-ors-orange-flavor-dehydration-solution-for-ors-20-packet-i-peditral-ors-i494713031.html","Aug 12"
"","daraz sale","N T","1","4","1.5K","0.01","1.9K","35","www.daraz.pk/","Jun 28"
"","www daraz com pk","N","1","4","1.5K","0.01","1.9K","46","www.daraz.pk/","Jul 07"
"","daraz pk online shopping","N","1","5","1.5K","0.01","1.9K","47","www.daraz.pk/","Jul 28"
"","raindrop bangles","I T","1","5","1.4K","0.01","2.9K","30","www.daraz.pk/tag/raindrops-bangles/","Jun 30"
"","walkie talkie","C I","1","7","1.4K","0.01","2.9K","37","www.daraz.pk/tag/walkie-talk/","Jul 05"
"","luggage bag","C","1","5","1.4K","0.01","2.9K","44","www.daraz.pk/tag/luggage-bags/","Jul 06"
"","korean noodles","I T","1","9","1.4K","0.01","2.9K","38","www.daraz.pk/tag/korean-noodles-lahore/","Jul 11"
"","controller","I T","1","5","1.4K","0.01","2.9K","44","www.daraz.pk/tag/game-controller-pc/","Jul 07"
"","handcuffs","I","1","6","1.4K","0.01","2.9K","49","www.daraz.pk/tag/handcuff/","Jul 08"
"","car accessories","C","1","4","1.4K","0.01","2.9K","40","www.daraz.pk/interior-accessories/","Jul 02"
"","vivo v60 5g price in pakistan","T","","4","1.3K","0.01","6.6K","38","www.daraz.pk/tag/vivo-v60/","3 days"
"","hazelnut","I T","","7","1.3K","0.01","9.9K","42","www.daraz.pk/tag/hazelnuts-price/","Aug 11"
"","mayonnaise","I T","","7","1.3K","0.01","9.9K","34","www.daraz.pk/mayonnaise/","Aug 10"
"","water dispenser price in pakistan","C","1","5","1.3K","0.01","9.9K","33","www.daraz.pk/tag/water-dispenser-price/","Aug 11"
"","topi","I","1","6","1.3K","0.01","9.9K","34","www.daraz.pk/tag/best-topi/","4 days"
"","kit kat","I","","9","1.3K","0.01","9.9K","49","www.daraz.pk/tag/kitt-kat/","4 days"
"","moisturizer","C I","1","6","1.3K","0.01","9.9K","47","www.daraz.pk/body-moisturizer/","4 days"
"","diary","C","1","5","1.3K","0.01","9.9K","37","www.daraz.pk/tag/professional-diary/","Aug 11"
"","coconut oil","I","1","7","1.3K","0.01","9.9K","39","www.daraz.pk/tag/coconut-oil-price/","3 days"
"","daraz affiliate program sign up","N T","1","6","1.3K","0.01","1.6K","33","www.daraz.pk/tag/join-daraz-affiliate-program/","Jul 23"
"","daraz office","N","","7","1.3K","0.01","1.6K","31","daraz.pk/","Jul 08"
"","topi","I","","6","1.1K","0.01","9.9K","34","www.daraz.pk/tag/clothing-topi/","4 days"
"","rc cars","C","","9","1.1K","0.01","9.9K","39","www.daraz.pk/tag/rc-cars-for-sale/","3 days"
"","laser cash","I","1","7","1.1K","0.01","2.4K","30","www.daraz.pk/tag/laser-cash-cash/","Jul 27"
"","neck pillow","I","1","5","1.1K","0.01","2.4K","41","www.daraz.pk/tag/neck-pillows/","Jul 11"
"","maggi","I","1","6","1.1K","0.01","2.4K","34","www.daraz.pk/tag/maggi-price/","Jul 01"
"","massage gun","C I","1","6","1.1K","0.01","2.4K","49","www.daraz.pk/tag/massager-guns/","Jul 29"
"","infinex","I","1","5","1.1K","0.01","2.4K","40","www.daraz.pk/tag/infinex-mobiles/","Jul 30"
"","cat house","I","1","6","1.1K","0.01","2.4K","33","www.daraz.pk/cat-houses/","Jul 07"
"","jenga","I","1","7","1.1K","0.01","2.4K","44","www.daraz.pk/tag/jenga-game-price/","Jul 09"
"","realme 14 price in pakistan","T","","5","1.1K","0.01","9.9K","33","www.daraz.pk/tag/realme-14-5g-mobile-phone/","Aug 11"
"","cocoa powder","I","","6","1.1K","0.01","8.1K","33","www.daraz.pk/tag/cocoa-powder-price/","Aug 11"
"","sharja crockery","I T","2","6","1.1K","0.01","8.1K","33","www.daraz.pk/tag/sharjah-crockery/","4 days"
"","height grow","C I","1","1","1.1K","0.01","8.1K","36","www.daraz.pk/tag/health-care-height-growth/","Aug 13"
"","kunafa chocolate","I","1","8","1.1K","0.01","8.1K","31","www.daraz.pk/tag/kunafa-chocolate/","Aug 13"
"","electric scooter price in pakistan","C","1","8","1.1K","0.01","8.1K","40","www.daraz.pk/tag/electric-scooters/","3 days"
"","nebulizer machine","I","1","5","1.1K","0.01","8.1K","31","www.daraz.pk/nebulizers/","4 days"
"","daraz 11 11","I N","1","5","1K","0.01","1.3K","32","www.daraz.pk/","Jun 28"
"","daraz shopping","N","1","7","1K","0.01","1.3K","40","www.daraz.pk/","Jul 02"
"","sesame seeds","I","","8","932","0.01","8.1K","46","www.daraz.pk/tag/sesame-seeds-price/","Aug 11"
"","infinx","I","","6","932","0.01","8.1K","40","www.daraz.pk/tag/infinx-phone/","Aug 11"
"","new model mobile 2024","I","","4","932","0.01","8.1K","36","www.daraz.pk/tag/mobile-phones-model-2024/","Aug 10"
"","realme 60x price in pakistan","T","","3","907","0.01","8.1K","31","www.daraz.pk/tag/realme-60x-128gb/","4 days"
"","lg v60 price in pakistan","C","","5","907","0.01","8.1K","30","www.daraz.pk/tag/lgv60-mobile/","3 days"
"","ps4 controller","C","1","7","893","0.01","1.9K","35","www.daraz.pk/tag/ps-4-controllers/","Jul 03"
"","toothpick","I T","1","8","893","0.01","1.9K","38","www.daraz.pk/tag/toothpick/","Jul 11"
"","suitcase price in pakistan","C","1","5","893","0.01","1.9K","34","www.daraz.pk/wheeled-non-wheeled-suitcases/","Jul 13"
"","thermal paste","C","1","5","893","0.01","1.9K","31","www.daraz.pk/tag/thermal-paste-for-cpu-price/","Jul 25"
"","turtleneck","C I","1","7","893","0.01","1.9K","37","www.daraz.pk/tag/turtleneck-sweaters/","Jun 30"
"","mayonnaise","I T","1","7","891","0.01","9.9K","34","www.daraz.pk/mayonnaise/","Aug 10"
"","alarm clock","T","3","3","891","0.01","9.9K","37","www.daraz.pk/tag/alarm-clocks/","1 day"
"","xxxxl mouse pad nearby","T","3","4","891","0.01","9.9K","32","www.daraz.pk/tag/xxxxl-mouse-pad/","Aug 11"
"","usb","I","1","8","858","0.01","6.6K","37","www.daraz.pk/usb-flash-drives/","2 days"
"","diamond painting","C I","2","5","858","0.01","6.6K","39","www.daraz.pk/tag/diamond-painting-price/","Aug 13"
"","pakistan online shopping app","I","1","5","858","0.01","6.6K","37","www.daraz.pk/","4 days"
"","vernier caliper","I T","1","8","858","0.01","6.6K","36","www.daraz.pk/tag/vernier-caliper-price/","Aug 11"
"","electric scooty price in pakistan","C","1","6","858","0.01","6.6K","32","www.daraz.pk/tag/electric-scooters/","4 days"
"","new model mobile 2026","I","","7","845","< 0.01","5.4K","37","www.daraz.pk/tag/new-mobile-2026/","Aug 13"
"","pakistan online shopping app","I","","5","759","< 0.01","6.6K","37","www.daraz.pk/","4 days"
"","ketoconazole shampoo","I","","4","759","< 0.01","6.6K","33","www.daraz.pk/tag/ketoconazole-2-percent-shampoo/","3 days"
"","electric scooty price in pakistan","C","","6","759","< 0.01","6.6K","32","www.daraz.pk/tag/electric-scooty-lahore/","4 days"
"","dandelion root","I","1","5","752","< 0.01","1.6K","32","www.daraz.pk/tag/dandelion-roots/","Jul 20"
"","pram","C I","1","6","752","< 0.01","1.6K","35","www.daraz.pk/baby-prams/","Jul 09"
"","skateboard","I","1","4","752","< 0.01","1.6K","41","www.daraz.pk/skateboarding/","Jul 21"
"","210","I","1","5","752","< 0.01","1.6K","31","www.daraz.pk/tag/210-nokia/","Jul 10"
"","chucky doll","I T","1","5","752","< 0.01","1.6K","42","www.daraz.pk/tag/chucky-doll-figure/","Jul 08"
"","go pro","C","1","4","752","< 0.01","1.6K","36","www.daraz.pk/tag/go-pro/","Aug 01"
"","white shoes","I","1","6","752","< 0.01","1.6K","39","www.daraz.pk/tag/white-shoe/","Jul 01"
"","churiyan","I","1","7","752","< 0.01","1.6K","30","www.daraz.pk/tag/churiyan-bangles/","Jul 14"
"","oriflame products","I N","","8","739","< 0.01","6.6K","33","www.daraz.pk/tag/oriflame-products-on-sale/","1 day"
"","realme 15 price in pakistan","C","","5","739","< 0.01","6.6K","32","www.daraz.pk/tag/realme-15/","3 days"
"","vivo v 60 price in pakistan","T","","4","739","< 0.01","6.6K","32","www.daraz.pk/tag/vivo-v60/","3 days"
"","smart clothes","N","","7","739","< 0.01","6.6K","36","www.daraz.pk/tag/smart-clothing-kids/","Aug 13"
"","gatorade","N","","7","739","< 0.01","6.6K","38","www.daraz.pk/gatorade/","Aug 13"
"","guitar","I","2","7","729","< 0.01","8.1K","45","www.daraz.pk/guitars/","Aug 11"
"","tab","I","3","5","729","< 0.01","8.1K","38","www.daraz.pk/tag/tab-tab-tablet/","Aug 10"
"","gta 10","I","3","6","729","< 0.01","8.1K","49","www.daraz.pk/tag/gta-10-gta-10/","3 days"
"","automatic washing machine price in pakistan","C","3","5","729","< 0.01","8.1K","35","www.daraz.pk/washing-machines/","Aug 11"
"","super game","I T","3","5","729","< 0.01","8.1K","37","www.daraz.pk/tag/sup-super-game/","3 days"
"","treadmill","C I","2","5","729","< 0.01","8.1K","33","www.daraz.pk/treadmills/","Aug 11"
"","cd","I","2","6","729","< 0.01","8.1K","34","www.daraz.pk/tag/cd-disc/","Aug 11"
"","tecno spark price in pakistan","T","","6","719","< 0.01","5.4K","33","www.daraz.pk/products/tecno-spark-go-1-4gb-4gb-extended-ram-128gb-rom-667-smooth-120hz-display-5000-mah-fast-charging-15w-i615865481.html","2 days"
"","centrum multivitamin","I T","","6","705","< 0.01","3.6K","45","www.daraz.pk/tag/centrum-multivitamins/","Jul 10"
"","selsun blue","I","","7","705","< 0.01","3.6K","32","www.daraz.pk/tag/selsun-blue-shampoo-anti-dandruff/","Jul 05"
"","digestive biscuits","I T","","7","702","< 0.01","5.4K","37","www.daraz.pk/tag/digestive-biscuit/","Aug 10"
"","darma","I T","2","6","702","< 0.01","5.4K","42","www.daraz.pk/tag/darma-skin-care/","Jul 19"
"","chain","I","2","7","702","< 0.01","5.4K","37","www.daraz.pk/tag/chains-and-necklace/","4 days"
"","sea buckthorn","I T","1","8","702","< 0.01","5.4K","38","www.daraz.pk/tag/dried-sea-buckthorn/","Aug 13"
"","uno cards","C I","1","8","702","< 0.01","5.4K","42","www.daraz.pk/tag/uno-cards-price/","4 days"
"","shoulder bag","I","2","5","702","< 0.01","5.4K","34","www.daraz.pk/tag/bags-shoulder-bags/","Aug 13"
"","jewelry box","I","1","6","702","< 0.01","5.4K","35","www.daraz.pk/tag/jewellery-box/","3 days"
"","hand grip","I","1","7","702","< 0.01","5.4K","34","www.daraz.pk/hand-grips/","3 days"
"","jam","I","","9","702","< 0.01","5.4K","30","www.daraz.pk/tag/jams/","4 days"
"","ors","I","1","9","693","< 0.01","9.9K","30","www.daraz.pk/tag/ors-sachet-flavour/","Aug 12"
"","tortilla wrap","I","2","9","693","< 0.01","9.9K","31","www.daraz.pk/tag/tortilla-wrap/","4 days"
"","1plus","I","","4","689","< 0.01","4.4K","37","www.daraz.pk/tag/mobile-1plus/","Jul 08"
"","jewelry box","I","","6","634","< 0.01","5.4K","35","www.daraz.pk/products/necklace-organizer-jewellery-box-with-mirror-gold-jewelry-stands-ring-necklace-earrings-bracelet-hangerscabinetorganizer-i514044473.html","3 days"
"","mustard color","I","","7","634","< 0.01","8.1K","31","www.daraz.pk/products/mustard-color-premium-lawn-cotton-for-trouser-or-shirts-for-women-unstitched-suits-25-meter-color-premium-quality-durable-fabric-reasonable-stylish-look-1-piece-only-25-yards-i275575746.html","Aug 10"
"","sponge","I","","6","621","< 0.01","5.4K","48","www.daraz.pk/tag/spong-foam/","4 days"
"","sea buckthorn","I T","","8","621","< 0.01","5.4K","38","www.daraz.pk/tag/dried-sea-buckthorn/","Aug 13"
"","uno cards","C I","","8","621","< 0.01","5.4K","42","www.daraz.pk/tag/uno-cards-price/","4 days"
"","hand grip","I","","7","621","< 0.01","5.4K","34","www.daraz.pk/hand-grips/","3 days"
"","ai robot","I","1","8","611","< 0.01","1.3K","38","www.daraz.pk/tag/ai-robots/","Jul 18"
"","ball bearing balls","I","1","7","611","< 0.01","1.3K","40","www.daraz.pk/tag/bearings-balls/","Jul 20"
"","ebook reader","C","1","4","611","< 0.01","1.3K","44","www.daraz.pk/tag/ebook-reader-device/","Jul 12"
"","bike helmet price in pakistan","T","1","5","611","< 0.01","1.3K","39","www.daraz.pk/motorcycle-helmets/","Aug 02"
"","samsing","C","1","5","611","< 0.01","1.3K","40","www.daraz.pk/tag/samsing-mobile-phones/","Aug 01"
"","maskara","I","1","6","611","< 0.01","1.3K","30","www.daraz.pk/tag/maskara/","Jul 24"
"","mp3 player","C","1","5","611","< 0.01","1.3K","48","www.daraz.pk/mp3-players/","Jul 06"
"","moter","I","1","7","611","< 0.01","1.3K","33","www.daraz.pk/tag/moter/","Jul 09"
"","nerf guns","I","1","5","611","< 0.01","1.3K","37","www.daraz.pk/tag/nerf-guns-toys/","Jul 21"
"","mountain bike","C","1","7","611","< 0.01","1.3K","47","www.daraz.pk/mountain-bikes/","Jul 06"
"","cycle gear","I T","1","6","611","< 0.01","1.3K","40","www.daraz.pk/tag/cycle-gear-price/","Jul 07"
"","earpods price in pakistan","C","1","4","611","< 0.01","1.3K","33","www.daraz.pk/wireless-earbuds/","Jul 09"
"","daraz contact number","N T","1","2","611","< 0.01","1.3K","30","www.daraz.pk/daraz-support-center/","Jun 28"
"","khurram sports","I T","1","5","611","< 0.01","1.3K","31","www.daraz.pk/tag/khurram-sports/","Jul 19"
"","note 40 price in pakistan","T","","5","604","< 0.01","5.4K","30","www.daraz.pk/tag/note-40-price/","3 days"
"","oppo latest mobile price in pakistan","T","","5","604","< 0.01","5.4K","43","www.daraz.pk/smartphones/oppo/","Aug 11"
"","oppo reno 15 5g price in pakistan","T","","5","604","< 0.01","5.4K","33","www.daraz.pk/tag/oppo-reno15-mobile/","Aug 13"
"","vivo y17s price in pakistan 4 64","T","","5","604","< 0.01","5.4K","34","www.daraz.pk/tag/mobile-phones-vivo-y17s/","Jul 19"
"","samsung mobile price in pakistan 25000 to 50000","T","","5","604","< 0.01","5.4K","41","www.daraz.pk/smartphones/samsung/","Aug 13"
"","wall paper design","I","2","8","594","< 0.01","6.6K","33","www.daraz.pk/tag/wall-wallpaper-sheet-design/","Aug 11"
"","cheetos","I","1","8","594","< 0.01","6.6K","33","www.daraz.pk/snacks/cheetos/","Aug 12"
"","resin","I","1","8","572","< 0.01","4.4K","44","www.daraz.pk/tag/epoxy-resin/","Jul 21"
"","corn flex","I T","","9","572","< 0.01","4.4K","34","www.daraz.pk/tag/cornfalkes/","Jul 20"
"","sleeve","I","1","6","572","< 0.01","4.4K","41","www.daraz.pk/men-sleeves/","Jul 01"
"","steamer","I","1","5","572","< 0.01","4.4K","37","www.daraz.pk/tag/steamar/","Jun 28"
"","fidget spinner","I","2","6","572","< 0.01","4.4K","40","www.daraz.pk/fidget-spinners/","Jul 19"
"","vinegar","I","","6","572","< 0.01","4.4K","48","www.daraz.pk/tag/vinegar-price/","Jul 20"
"","bra pic","I","1","5","572","< 0.01","4.4K","30","www.daraz.pk/tag/pics-bra/","Jun 30"
"","cctv camera","C","3","6","567","< 0.01","8.1K","48","pages.daraz.pk/wow/camp/daraz/megascenario/pk/11-11-MC/cameras-security-cameras/","2 days"
"","kapde","I","1","7","567","< 0.01","8.1K","35","www.daraz.pk/tag/kapde-ke-kapde/","Aug 11"
"","led lights","I","3","7","567","< 0.01","8.1K","39","www.daraz.pk/led-lighting/","2 days"
"","online marketplace","I","2","6","567","< 0.01","8.1K","47","www.daraz.pk/","2 days"
"","electric scooty","I","3","7","567","< 0.01","8.1K","41","www.daraz.pk/tag/electric-scooty-lahore/","Aug 11"
"","gaming pc","I","4","4","567","< 0.01","8.1K","49","www.daraz.pk/tag/gaming-setup-pc-price/","Aug 11"
"","yeast","I","","6","567","< 0.01","8.1K","48","www.daraz.pk/tag/yeast-price/","Aug 11"
"","ishq e aatish novel","C","3","5","567","< 0.01","8.1K","31","www.daraz.pk/tag/ishq-e-atish-by-sadia-rajpoot/","3 days"
"","tacno","I T","","4","563","< 0.01","3.6K","48","www.daraz.pk/tag/tacno-mobile-phone/","Jul 10"
"","tacno","I T","","4","563","< 0.01","3.6K","48","www.daraz.pk/tag/tacno-mobile-phone/","Jul 10"
"","led lights","I","","7","532","< 0.01","8.1K","39","www.daraz.pk/led-lighting/","2 days"
"","wall paper design","I","","8","516","< 0.01","6.6K","33","www.daraz.pk/products/palazzo-3-3d-wallpaper-for-roomofficeshop-bricksstoneswooden-designs-i430651746.html","Aug 11"
"","eid greeting cards","I","","7","516","< 0.01","6.6K","37","www.daraz.pk/products/customized-eid-mubarak-greeting-cards-birthday-love-cards-picture-cards-party-gifts-i410480843.html","3 days"
"","balochi dress","I","","5","516","< 0.01","6.6K","32","www.daraz.pk/products/ladies-3pcs-stitched-balochi-dress-i298345926.html","Aug 11"
"","nizoral shampoo","I","","6","506","< 0.01","4.4K","33","www.daraz.pk/tag/nizoral-shampoo/","Jul 12"
"","ponds price in pakistan","I","","4","506","< 0.01","4.4K","42","www.daraz.pk/face-wash/ponds/","Jul 26"
"","cloths","I","","8","506","< 0.01","4.4K","38","www.daraz.pk/tag/cloths/","Jul 07"
"","hazelnut","I T","2","7","495","< 0.01","9.9K","42","www.daraz.pk/tag/hazelnuts-price/","Aug 11"
"","samsung s10","I T","5","4","495","< 0.01","9.9K","33","www.daraz.pk/wow/i/pk/campaigns/samsung-beyond-launch?hybrid=1","Aug 10"
"","kitkat","I","2","7","495","< 0.01","9.9K","47","www.daraz.pk/tag/kitt-kat/","Aug 13"
"","rc cars","C","4","9","495","< 0.01","9.9K","39","www.daraz.pk/tag/rc-cars-for-sale/","3 days"
"","tplinkwifi","T","5","4","495","< 0.01","9.9K","40","www.daraz.pk/tag/tplinkwifi/","Aug 12"
"","glass tower","I T","3","7","486","< 0.01","5.4K","33","www.daraz.pk/tag/glass-tower/","Aug 07"
"","magnet","I","2","7","486","< 0.01","5.4K","40","www.daraz.pk/tag/magnets-price/","3 days"
"","drawer","I","1","6","468","< 0.01","3.6K","43","www.daraz.pk/tag/drawer/","Jun 30"
"","earpods","C I","1","7","468","< 0.01","3.6K","42","www.daraz.pk/tag/ear-pod/","Jun 30"
"","jute","I","","8","468","< 0.01","3.6K","48","www.daraz.pk/tag/jute/","Jul 20"
"","amplifier","I T","1","7","468","< 0.01","3.6K","36","www.daraz.pk/auto-electronics-amplifiers/","Jul 21"
"","caustic soda","I","1","8","468","< 0.01","3.6K","34","www.daraz.pk/tag/caustic-soda-1kg-price/","Jun 30"
"","sup","C I","1","6","468","< 0.01","3.6K","49","www.daraz.pk/tag/portable-sup/","Jul 01"
"","poppy seeds","I T","","8","468","< 0.01","3.6K","38","www.daraz.pk/tag/poppy-seeds/","Jun 30"
"","plaster of paris","I","1","8","468","< 0.01","3.6K","30","www.daraz.pk/tag/plaster-of-paris-/","Jun 30"
"","opop","I T","2","5","468","< 0.01","3.6K","30","www.daraz.pk/tag/opop-mobile-phones/","Jul 05"
"","thermometer","I T","3","6","462","< 0.01","6.6K","48","www.daraz.pk/health-beauty-thermometers/","20 hours"
