# ASM VEO Editable Product Control Sheet — TAB-separated; opens in Excel/Google Sheets
# CSV SHA256: c279277a0619b4270c94324b669b233cd4e5e4cec40d10215062e7a82c4b77b0
# Edit Product Name, Description, Main Price, Discount Price and Stock. Do not edit Product ID/Slug.
Product Name	Description	Main Price	Discount Price	Stock	Product ID	Slug
Transparent Self-Adhesive Wall Hooks – Strong Hold, No Drill, Damage-Free Hanging - Pack of 10		236	236	In Stock	hhc-3755571	transparent-self-adhesive-wall-hooks-strong-hold-no-drill-damage-free-h-890f5282-hhc-3755571
Transparent Sticky Hook | Wall Hooks Self Adhesive Clothes Coat | Door Hanger Towel Key Holder Bathroom Kitchen Storage Sticker Hook		218	218	In Stock	hhc-3251304	transparent-sticky-hook-wall-hooks-self-adhesive-clothes-coat-door-hang-7bcb8410-hhc-3251304
Transparent Storage Box Shoe Cabinet For Moisture Protection And Organized Storage Of Shoes, Clothing, Toys, And Accessories		643	643	In Stock	hhc-3325906	transparent-storage-box-shoe-cabinet-for-moisture-protection-and-organi-b5408ada-hhc-3325906
Transparent Strong Self Adhesive Door Wall Hooks For Hanging Kitchen Bathroom Accessories 10 Pcs		211	211	In Stock	hhc-3755680	transparent-strong-self-adhesive-door-wall-hooks-for-hanging-kitchen-ba-bc1de42a-hhc-3755680
Transparent UV400 Blue Light Blocking Glasses for Men & Women | Clear Lens Computer & Mobile Eyewear | Stylish Unisex Frame with Protective Glasses Box		361	361	In Stock	hhc-3760964	transparent-uv400-blue-light-blocking-glasses-for-men-women-clear-lens-43f835fa-hhc-3760964
TRAVEL BAG MADE UP FUSING 110GSM		327	327	In Stock	hhc-3764645	travel-bag-made-up-fusing-110gsm-hhc-3764645
Travel Leather Pocket Jewellery Organizer Box (Mix/Random color)		523	523	In Stock	hhc-3164724	travel-leather-pocket-jewellery-organizer-box-mix-random-color-hhc-3164724
Travel Leather Pocket Jewellery Organizer Box (Mix/Random color)		523	523	In Stock	hhc-2575381	travel-leather-pocket-jewellery-organizer-box-mix-random-color-hhc-2575381
Travel Leather Pocket Jewellery Organizer With Box (Mix/Random color)		528	528	In Stock	hhc-1037680	travel-leather-pocket-jewellery-organizer-with-box-mix-random-color-hhc-1037680
Travel Soap Outdoor Portable Mini Paper Soap Paper Washing Hand Bath (Random Color)		172	172	In Stock	hhc-2262905	travel-soap-outdoor-portable-mini-paper-soap-paper-washing-hand-bath-ra-094e9fda-hhc-2262905
Tree Doctor Herbal Teeth Whitening Powder 50g Natural Teeth Cleaning And Whitening Oral Care Powder		765	765	In Stock	hhc-3756815	tree-doctor-herbal-teeth-whitening-powder-50g-natural-teeth-cleaning-an-226f621d-hhc-3756815
Tree Doctor Tooth Powder – Mint Clean Whitening Formula with Hyaluronic Acid | Plaque Removal & Fresh Breath | 50g		740	740	In Stock	hhc-3756049	tree-doctor-tooth-powder-mint-clean-whitening-formula-with-hyaluronic-a-cdd7cb93-hhc-3756049
Tree Sticky Phototiles Wall Art – Tree Decor For Home &amp; Office		783	783	In Stock	hhc-3714263	tree-sticky-phototiles-wall-art-tree-decor-for-home-amp-office-hhc-3714263
Trending M-Design RFID Wallet | Compact PU Card Holder with Coin Pocket for Men & Women		642	642	In Stock	hhc-3761740	trending-m-design-rfid-wallet-compact-pu-card-holder-with-coin-pocket-f-a9072dd0-hhc-3761740
Trendy Half Sleeve Shirt for Boys & Men – Soft & Lightweight		527	527	In Stock	hhc-3756359	trendy-half-sleeve-shirt-for-boys-men-soft-lightweight-hhc-3756359
Trendy Korean Cross Pearl Earrings – Sculpted Design (AVT-114)		319	319	In Stock	hhc-3752533	trendy-korean-cross-pearl-earrings-sculpted-design-avt-114-hhc-3752533
Trendy Pearl Handle Glass Water Bottle with Straw (Random Color)		614	614	In Stock	hhc-3764740	trendy-pearl-handle-glass-water-bottle-with-straw-random-color-hhc-3764740
Tresemme Deep Smoothie Hair Mask - Hair Care Product Designed For Hair Nourishment And Daily Grooming Routine -  500ml		895	895	In Stock	hhc-3764816	tresemme-deep-smoothie-hair-mask-hair-care-product-designed-for-hair-no-f91e035a-hhc-3764816
